time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,ctrl_thrust,z_ref
8.992,-2.0166115973454953e-18,6.765991287372824e-18,1.26822437121365,-7.022328185625511e-19,1.0030285716185025e-18,-0.00031772071236254196,4.185934463560053e-17,-2.0403904942976704e-18,3.3977341358739723,2.913706456046889e-18,-3.183447268237407e-18,0.0028802842174870513,0.4948090065368841,1.0
9.0,-2.0221389342245474e-18,6.7740473318926875e-18,1.268221897774013,-6.909171098815135e-19,1.0070055649829528e-18,-0.0003091799546293556,4.3058984641489264e-17,-3.4323035081363696e-18,3.399050060322801,2.6173456018478663e-18,-3.0345556358234747e-18,0.002870901792442345,0.49480532275884814,1.0
9.008000000000001,-2.0275825854514212e-18,6.782115207525448e-18,1.268219490892144,-6.804564033592058e-19,1.0084844540950268e-18,-0.0003008602336043237,4.413265402223139e-17,-4.757520262065547e-18,3.4003614905941806,2.342587703103774e-18,-2.8889974754147904e-18,0.0028610970182390712,0.49480172888038243,1.0
9.016,-2.0329513538766018e-18,6.789232359137994e-18,1.2682171488429037,-6.710960531475763e-19,8.896439515682599e-19,-0.00029275615504311965,4.572960545517141e-17,-6.057065872810945e-18,3.401668235068445,3.484276613699568e-18,-2.8329330662262583e-18,0.002850874194769017,0.49479822292306885,1.0
9.024000000000001,-2.038250962507076e-18,6.79557454139436e-18,1.2682148699433564,-6.624510788093001e-19,7.927727820457826e-19,-0.00028486244341364324,4.7725950665777363e-17,-7.324118285181553e-18,3.4029701041165827,4.355681278926486e-18,-2.761963182787853e-18,0.002840237664976225,0.4947948029429742,1.0
9.032,-2.0434874704267894e-18,6.801176550889157e-18,1.2682126525518378,-6.545634899641759e-19,7.002511868496495e-19,-0.00027717393982675204,5.0092234446279884e-17,-8.557849983795348e-18,3.4042669101195195,5.162822491139208e-18,-2.689169960252971e-18,0.002829191813858058,0.4947914670304959,1.0
9.040000000000001,-2.048664813966105e-18,6.806822137536259e-18,1.268210495067038,-6.471679424144365e-19,7.056983308878423e-19,-0.00026968559997624217,5.2290248219979445e-17,-9.725877963258091e-18,3.4055584674869306,4.795771755642553e-18,-2.5457242226778306e-18,0.0028177410674655717,0.4947882133098934,1.0
9.048,-2.0537887009514515e-18,6.812614581661086e-18,1.2682083959271013,-6.404858731683141e-19,7.2405551560333795e-19,-0.0002623924921069671,5.424355149625651e-17,-1.082461277237569e-17,3.406844592675606,4.261949881940934e-18,-2.394458915542341e-18,0.002805889891903243,0.4947850399396557,1.0
9.056000000000001,-2.0588655462498943e-18,6.818458634640904e-18,1.2682063536087416,-6.346056623053495e-19,7.305066224772048e-19,-0.0002552897949608541,5.601099032933354e-17,-1.1858855517006037e-17,3.408125104207347,3.8565063737169016e-18,-2.253679734663229e-18,0.002793642792328244,0.4947819451116616,1.0
9.064,-2.063902113126177e-18,6.823512293974772e-18,1.2682043666263754,-6.295708595353688e-19,6.317074167335303e-19,-0.000248372795773369,5.815818657062931e-17,-1.286457251910981e-17,3.409399822686406,4.685055520879942e-18,-2.1913633750718616e-18,0.0027810043119495423,0.49477892705128446,1.0
9.072000000000001,-2.0689018207001692e-18,6.828561003472263e-18,1.2682024335312692,-6.249634467490089e-19,6.310886871863345e-19,-0.00024163688826369276,6.014641972433381e-17,-1.3809552124395846e-17,3.4106685708164743,4.3382961716227904e-18,-2.0587680161371213e-18,0.00276797903102684,0.49477598401679346,1.0
9.08,-2.0738700162316523e-18,6.833646253823711e-18,1.2682005529107039,-6.210244414353736e-19,6.356562939310323e-19,-0.00023507757066078502,6.194177042577824e-17,-1.469276073558738e-17,3.411931173417203,3.9175327643549666e-18,-1.9239275039577343e-18,0.002754571565869633,0.49477311429953563,1.0
9.088000000000001,-2.0788134112445266e-18,6.837798012464586e-18,1.2681987233871541,-6.179243766092678e-19,5.189698301094455e-19,-0.00022869044371857613,6.419659154379841e-17,-1.5555795895452e-17,3.4131874574402685,4.919980050113811e-18,-1.879833675883139e-18,0.002740786567836524,0.4947703162229934,1.0
